Name,Rating,Reviews,Location and Description,Salaries,Interviews,Jobs
Megha Engineering & Infrastructures,3.9,(6.5k),Engineering & Construction | Hyderabad / Secunderabad +397 other locations,17.8k Salaries,538 Interviews,20 Jobs
Tata Projects,4.2,(6.5k),Engineering & Construction | Mumbai +282 other locations,22.1k Salaries,557 Interviews,29 Jobs
FIS,3.8,(6.3k),FinTech | Pune +60 other locations,38.6k Salaries,527 Interviews,209 Jobs
Coforge,3.2,(6.3k),IT Services & Consulting | Noida +105 other locations,47.1k Salaries,654 Interviews,217 Jobs
L&T Technology Services,3.1,(6.2k),IT Services & Consulting | Bangalore / Bengaluru +94 other locations,41.5k Salaries,608 Interviews,-- Jobs
Bajaj Life Insurance,3.9,(6.2k),Insurance | Pune +601 other locations,17.2k Salaries,429 Interviews,54 Jobs
IIFL Finance,4.0,(6.2k),NBFC | Mumbai +798 other locations,14k Salaries,311 Interviews,36 Jobs
Oracle,3.5,(6.1k),Software Product | Bangalore / Bengaluru +56 other locations,61.8k Salaries,937 Interviews,807 Jobs
Indian Army,4.7,(6.1k),Defence & Aerospace | New Delhi +361 other locations,9.4k Salaries,193 Interviews,-- Jobs
Cholamandalam Investment & Finance,3.8,(6.1k),Financial Services | Chennai +821 other locations,12.2k Salaries,258 Interviews,33 Jobs
JLL,4.1,(6k),Real Estate | Gurgaon / Gurugram +85 other locations,23.7k Salaries,461 Interviews,335 Jobs
Omega Healthcare,3.8,(6k),BPO | Chennai +68 other locations,25.8k Salaries,518 Interviews,154 Jobs
Muthoot Finance,3.7,(6k),NBFC | Bangalore / Bengaluru +770 other locations,12.7k Salaries,327 Interviews,50 Jobs
HCL Group,3.5,(6k),IT Services & Consulting | Chennai +98 other locations,40.5k Salaries,508 Interviews,-- Jobs
eClerx,3.1,(5.9k),IT Services & Consulting | Pune +32 other locations,30.8k Salaries,614 Interviews,99 Jobs
Virtusa Consulting Services,3.7,(5.8k),IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,55.7k Salaries,647 Interviews,1.5k Jobs
Udaan,3.9,(5.8k),Internet | Bangalore / Bengaluru +369 other locations,15.7k Salaries,365 Interviews,3 Jobs
DMart,3.9,(5.8k),Retail | Mumbai +244 other locations,17.8k Salaries,519 Interviews,171 Jobs
HSBC Group,3.9,(5.8k),Financial Services | Bangalore / Bengaluru +63 other locations,42k Salaries,536 Interviews,119 Jobs
Indiamart Intermesh,3.5,(5.7k),Internet | Noida +170 other locations,19.9k Salaries,729 Interviews,659 Jobs
Aurobindo Pharma,4.0,(5.6k),Pharma | Hyderabad / Secunderabad +116 other locations,20.9k Salaries,283 Interviews,3 Jobs
SMFG India Credit,3.9,(5.6k),NBFC | Mumbai +585 other locations,10.8k Salaries,195 Interviews,89 Jobs
Siemens,3.9,(5.6k),Industrial Automation | Bangalore / Bengaluru +152 other locations,33k Salaries,492 Interviews,42 Jobs
Shapoorji Pallonji Group,4.1,(5.5k),Engineering & Construction | Mumbai +188 other locations,15.1k Salaries,402 Interviews,63 Jobs
CGI Group,4.0,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +44 other locations,46.2k Salaries,554 Interviews,274 Jobs
BigBasket,3.9,(5.5k),Internet | Bangalore / Bengaluru +137 other locations,18.7k Salaries,452 Interviews,84 Jobs
Access Healthcare,3.7,(5.5k),Healthcare | Chennai +61 other locations,27.5k Salaries,368 Interviews,685 Jobs
ICICI Lombard General Insurance Company,3.5,(5.5k),Insurance | Mumbai +310 other locations,19.7k Salaries,344 Interviews,144 Jobs
Manappuram Finance,3.9,(5.5k),NBFC | Bangalore / Bengaluru +634 other locations,9.3k Salaries,209 Interviews,4 Jobs
Standard Chartered,3.6,(5.5k),Banking | Chennai +68 other locations,41.7k Salaries,312 Interviews,-- Jobs
Firstsource Solutions,3.5,(5.5k),BPO | Bangalore / Bengaluru +71 other locations,23.7k Salaries,346 Interviews,144 Jobs
GlobalLogic,3.5,(5.5k),IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,39.9k Salaries,673 Interviews,59 Jobs
Apollo Hospitals,4.0,(5.4k),Healthcare | Chennai +227 other locations,16.2k Salaries,452 Interviews,80 Jobs
Mahindra Finance,3.9,(5.4k),NBFC | Mumbai +718 other locations,11.8k Salaries,197 Interviews,465 Jobs
UST,3.7,(5.4k),IT Services & Consulting | Bangalore / Bengaluru +49 other locations,38.7k Salaries,569 Interviews,160 Jobs
Bosch Global Software Technologies,3.8,(5.4k),IT Services & Consulting | Bangalore / Bengaluru +47 other locations,39k Salaries,377 Interviews,100 Jobs
Ashok Leyland,4.0,(5.3k),Automobile | Chennai +248 other locations,18.5k Salaries,305 Interviews,-- Jobs
Citicorp,3.7,(5.3k),Financial Services | Pune +67 other locations,50.7k Salaries,612 Interviews,-- Jobs
PolicyBazaar,3.7,(5.3k),Internet | Gurgaon / Gurugram +139 other locations,16.7k Salaries,573 Interviews,590 Jobs
Cyient,3.6,(5.2k),IT Services & Consulting | Hyderabad / Secunderabad +47 other locations,27.2k Salaries,319 Interviews,106 Jobs
Swiggy,3.7,(5.2k),Internet | Bangalore / Bengaluru +227 other locations,22.2k Salaries,536 Interviews,248 Jobs
Hero MotoCorp,4.1,(5.2k),Automobile | Gurgaon / Gurugram +362 other locations,15.6k Salaries,394 Interviews,2 Jobs
JustDial,3.5,(5k),Internet | Noida +226 other locations,15.4k Salaries,381 Interviews,59 Jobs
SBI Cards & Payment Services,3.6,(5k),Financial Services | Gurgaon / Gurugram +429 other locations,15.8k Salaries,289 Interviews,114 Jobs
Kalpataru Projects International,4.1,(5k),Engineering & Construction | Mumbai +314 other locations,13.6k Salaries,310 Interviews,-- Jobs
IQVIA,3.7,(5k),Clinical Research | Bangalore / Bengaluru +62 other locations,30.1k Salaries,527 Interviews,22 Jobs
BNY,3.7,(5k),Financial Services | Pune +25 other locations,30.4k Salaries,382 Interviews,-- Jobs
CBRE,4.1,(4.9k),Real Estate | Hyderabad / Secunderabad +91 other locations,18.3k Salaries,329 Interviews,29 Jobs
SBI Life Insurance Company,3.7,(4.9k),Insurance | Mumbai +645 other locations,11.5k Salaries,292 Interviews,9 Jobs
NTT Data,3.8,(4.9k),IT Services & Consulting | Bangalore / Bengaluru +77 other locations,34.7k Salaries,708 Interviews,123 Jobs
TVS Motor,3.9,(4.9k),Automobile | Hosur +344 other locations,15.6k Salaries,378 Interviews,71 Jobs
Nagarjuna Construction Company,4.1,(4.9k),Engineering & Construction | Hyderabad / Secunderabad +290 other locations,11.9k Salaries,408 Interviews,15 Jobs
vivo,4.1,(4.8k),Consumer Electronics & Appliances | Noida +413 other locations,12.9k Salaries,227 Interviews,5 Jobs
Persistent Systems,3.6,(4.8k),IT Services & Consulting | Pune +42 other locations,43k Salaries,691 Interviews,300 Jobs
Atos,3.8,(4.8k),IT Services & Consulting | Pune +49 other locations,33.8k Salaries,402 Interviews,106 Jobs
State Bank of India,3.8,(4.8k),Banking | Mumbai +613 other locations,11.3k Salaries,300 Interviews,18 Jobs
Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations,28.6k Salaries,314 Interviews,7 Jobs
Schneider Electric,4.1,(4.8k),Industrial Automation | Bangalore / Bengaluru +118 other locations,23.8k Salaries,424 Interviews,37 Jobs
Ecom Express,4.0,(4.7k),Logistics | Gurgaon / Gurugram +772 other locations,9.4k Salaries,255 Interviews,-- Jobs
Amdocs,3.6,(4.7k),Software Product | Pune +22 other locations,36.9k Salaries,555 Interviews,59 Jobs
Nagarro,3.9,(4.7k),IT Services & Consulting | Gurgaon / Gurugram +49 other locations,31.7k Salaries,825 Interviews,339 Jobs
KEC International,4.0,(4.6k),Engineering & Construction | Mumbai +309 other locations,13.1k Salaries,397 Interviews,4 Jobs
JBM Group,3.9,(4.6k),Auto Components | Gurgaon / Gurugram +113 other locations,13.8k Salaries,330 Interviews,48 Jobs
Home Credit Finance,4.0,(4.6k),NBFC | Gurgaon / Gurugram +136 other locations,9.5k Salaries,141 Interviews,111 Jobs
Varun Beverages,4.0,(4.6k),Beverage | New Delhi +374 other locations,12k Salaries,321 Interviews,37 Jobs
Piramal Capital Housing Finance,4.2,(4.5k),NBFC | Mumbai +383 other locations,9.4k Salaries,225 Interviews,4 Jobs
Bosch,4.2,(4.5k),Auto Components | Bangalore / Bengaluru +124 other locations,20.4k Salaries,369 Interviews,-- Jobs
Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +104 other locations,26.5k Salaries,261 Interviews,101 Jobs
OPPO,3.9,(4.5k),Consumer Electronics & Appliances | Greater Noida +407 other locations,12k Salaries,245 Interviews,8 Jobs
EY Global Delivery Services ( EY GDS),3.5,(4.5k),Accounting & Auditing | Bangalore / Bengaluru +54 other locations,46.7k Salaries,864 Interviews,35 Jobs
ITC Infotech,3.7,(4.4k),IT Services & Consulting | Bangalore / Bengaluru +67 other locations,29.1k Salaries,404 Interviews,99 Jobs
Mahindra Logistics,3.7,(4.4k),Logistics | Mumbai +232 other locations,12.9k Salaries,241 Interviews,-- Jobs
Dell,3.8,(4.4k),Consumer Electronics & Appliances | Bangalore / Bengaluru +116 other locations,28.4k Salaries,418 Interviews,25 Jobs
Aditya Birla Fashion and Retail,4.1,(4.4k),Fashion & Textile | Bangalore / Bengaluru +287 other locations,12.7k Salaries,259 Interviews,70 Jobs
